,Analyst,Technology,Comments,Date,Comment.Sentiment,Tags,fy_quarter2,fy_quarter
1,Anne Thomas,Tanzu App Service,difficult to suggest new customers invest in current version of tas running on bosh bc of the transition to tas on kubernetes if they are existing customers who have been using it then its an easy yes the new customer value propisiton is more difficult to articulate ,6/29/2020,Negative,Customer Related,2020.2,FY21 Q2
2,Anne Thomas,Tanzu Kubernetes Grid,anne highlighted major concern among pks customers and confusion about pks and tkgtkgi she is looking for substantive content to help clarify confusion around this and pointed out that there is no tkgi content from the main vmwareare navigation page we get a redirect to tkg page off tanzuvmwarecom and there is nothing specific to tkgi there ,6/4/2020,Negative,Messaging,2020.2,FY21 Q2
3,Anne Thomas,Tanzu,anne also suggested that we need to make a definitive statement about lts and the future of tas and tas4kubernetes customers are asking if they should be abandoning classic pastas and if they should start working w k8s etc while we appreciate this is not a quick answer our relative silence is fueling confusion among customers and fomenting fud which our competitors are happy to capitalizing on ,6/4/2020,Advice,Support,2020.2,FY21 Q2
4,Jeffrey Hammond,Tanzu Data Services,it feels to me two options of orgs moving to modernize data layer vms on cloud and still manage themselves if they have the right data services they should have a managed service feel,6/17/2020,Neutral,Messaging,2020.2,FY21 Q2
5,Dave Bartoletti,Tanzu,red hats strategy for its isvs is to try to drag every isv it can to run on openshift the red hat strategy implications for csps red hat wants kubernetes to be a feature of the hypervisor  ,6/11/2020,Advice,Strategy,2020.2,FY21 Q2
6,Dave Bartoletti,Tanzu,isv dependencies to consider hard to take that dependency with the platform dave tells customers to first get it on aws or wait to do hybrid cloud but aws bc youll get to market faster ,6/11/2020,Neutral,Strategy,2020.2,FY21 Q2
7,Dave Bartoletti,Tanzu,isvs addressable market keeps expanding bc we are expanding the ways their customers can run their softwareim so glad you are thinking about this now vmwareare has tight relationships w isv you can expand their addressable market and we can make this additive w containers ,6/11/2020,Positive,Strategy,2020.2,FY21 Q2
8,Dave Bartoletti,Tanzu,three challenges for isvs will it make me stand out if i rearchitect my application to be microservices  can i tell that its better bc of it can i go to ops teams saying its easier to run on a bunch of clusters are people gonna buy it and manage it themselves or consume it as a service look at liberty mutual aws use case ,6/11/2020,Advice,Strategy,2020.2,FY21 Q2
9,Anne Thomas,Tanzu Data Services,you will have more of an opportunity of the data services run on vanilla kubernetes,6/3/2020,Advice,Messaging,2020.2,FY21 Q2
10,Anne Thomas,Tanzu Data Services,there is an obvious using tas or tas4kubernetes and there is a lot of value in using these models integrated with that platform the more deep integration you can provide w platform the more valuable to customers ,6/3/2020,Positive,Messaging,2020.2,FY21 Q2
11,Bill Martorelli,Pivotal Labs/Services,from the buyers i know the awareness is limited in the distinction between architecture modernization and source code modernization but it is growing it influences our research the app and the infrastructure teams are still separage but converging,6/15/2020,Neutral,Customer Related,2020.2,FY21 Q2
12,Bill Martorelli,Pivotal Labs/Services,the system integrators are working with customers for app modernization services with customer app leaders they are not approaching or working their modernization services with the it operations side unless the customer is requesting it,6/15/2020,Neutral,Partner readiness,2020.2,FY21 Q2
13,James Governor,Pivotal Labs/Services,you should think about turning the labs transformation service into a digital experience that is your challenge which is an amazing one clearly  the red hat transformation office is talking a lot about automation and it seems more of an online experience you have got business as usual for a pivotal labs but if you find ways to scale what you do many orgs will be happy about that pivotal labs could be about distributed work and distributed training,6/6/2020,Negative,Pricing/packaging,2020.2,FY21 Q2
14,James Governor,Pivotal Labs/Services,if i was you i would want the freedom to say overall that pivotal labs is about writing better software no matter what language you use,6/6/2020,Advice,Messaging,2020.2,FY21 Q2
15,Rich Lane,Tanzu Observability,with microservices you dont need application performance monitoring apm apm vendors are in a panic because you dont need apm with microservices which is on the rise with modernizing applications observability is far more relevant,6/16/2020,Positive,Messaging,2020.2,FY21 Q2
16,Gregor Petri,VMC on X,on the previous slide you showed the difference between the two approaches why the different approach the first one vmwareare cloud on aws seems to work so why would you take a different approach for the second vmware cloud on other public clouds,6/2/2020,Neutral,Strategy,2020.2,FY21 Q2
17,Milind Govekar,VMC on X,if i say okay vmwareare has made a lot of investment in vmc on aws and they should actually manage a lot of that capability as time progresses maybe investment in azure and google cloud could match the one that youve done on aws do the partners then think that slowly depending on how lucrative google or azure becomes vmware will start controlling and managing everything and well be pushed out to some of the others is there any fear on that part or are you saying that youll never go to the other hyperscaler well just go on aws,6/2/2020,Neutral,Strategy,2020.2,FY21 Q2
18,Milind Govekar,Cloud (VCPP),i think this was very useful it gives a good idea of what you are planning with the partners,6/2/2020,Neutral,Partnerships,2020.2,FY21 Q2
19,Angelina Troy,VMC on AWS,one of the overiding things i see in terms of where interest lies is who their strategy provider is it seems to be reason number one when it comes to making these kinds of choices or at least where they start making these choices,6/2/2020,Neutral,Partnerships,2020.2,FY21 Q2
20,Angelina Troy,VMC on X,its probably 5050 of whether or not i take a call on vmwareare in the cloud that the client read the report on the comparison vmware clouds research note half of the time it spawns the discussion from i read this now i want to know the context for what im doing half of the time its like i just wanted to talk about this i didnt realize there was a document thats typical people are pretty happy with it the report its gotten a good reception good rating i think that it seems to have landed well its already out of date so ill have to update that early next year or after all of these things hit ga,6/2/2020,Neutral,Marketing Awareness,2020.2,FY21 Q2
21,Angelina Troy,Outpost (VMC on AWS),im not getting any aws outposts inquiry calls its kind of weird we dont have a lot of visibility why that is however when i look back at my azure stack inquiries i did take a bunch leading up to it and then there was a bit of a lull the pipeline ramped up and they got their sales engine going there was a constant trickle for azure stack inquiries maybe it will be the same way for aws outposts,6/2/2020,Neutral,Competitive mentions/intel,2020.2,FY21 Q2
22,Dennis Smith,Cloud (VCPP),are you looking to add other services within your hub things like some of the tanzu offerings or wavefront this appears to be more traditional spinning up of vms in the environment are you adding any upper layer services for these providers yes without a doubt ,6/3/2020,Neutral,Features or products (included/missing/recommended),2020.2,FY21 Q2
23,Sid Nag,Cloud (VCPP),i think this vmwareare cloud partner hub is very powerful the reason its very powerful is because if what you said is true this completes the solution from lighthouse from azure the dependency of lighthouse is that the primary estate has to be azure in this case the estates are peer estates so this is a much more elegant solution than lighthouse,6/3/2020,Positive,Features or products (included/missing/recommended),2020.2,FY21 Q2
24,Mike Dorosh,Cloud (VCPP),yeah this is absolutely a lot more elegant solution than lighthouse it puts the power in the partner the managed service providers hands to decide what and how vs lighthouse it opens up markets for your partner community and more importantly it opens up opportunities for vmwareare to play across all of these clouds a lot better,6/3/2020,Positive,Features or products (included/missing/recommended),2020.2,FY21 Q2
25,Mike Dorosh,Cloud (VCPP),i will say that it gets a lot more interesting as you add more and more stuff to this thinking about your vcpp partners and some of the more advanced users of some of these things sooner or later they are going to want a onestop shop hub for this stuff they arent going to want to go to 23 different things or have to integrate 23 different things onto their workflows they are going to want consistency reporting pricing etc,6/3/2020,Positive,Features or products (included/missing/recommended),2020.2,FY21 Q2
26,Mike Dorosh,Cloud (VCPP),you guys are going to have to think about positioning against lighthouse and arc with this program we are already getting questions around im a service provider that plays in the azure ecosystem and in the vmwareare ecosystem whose tools do i play with lighthouse and anthos even though thats more of a boogeyman right now than it is a reality,6/3/2020,Advice,Features or products (included/missing/recommended),2020.2,FY21 Q2
27,Sid Nag,Cloud (VCPP),yes anthos to some degree the difference between anthos and lighthouse is that anthos is more arcish whereas lighthouse is more like this lighthouse and this have an msp angle to it but those are more selfprovisioning runitself managed tools tools dont make a service as we all know,6/3/2020,Advice,Competitive mentions/intel,2020.2,FY21 Q2
